task,run_id,param_name,param_value,train_metric,test_metric,epochs,learning_rate,batch_size,hidden_layers,hidden_units
regression_years,1778493061_0,hidden_layer_sizes,[8],191.27966677019427,205.2897746294666,100,0.01,32,1,8
regression_years,1778493061_1,hidden_layer_sizes,[8],188.51154932471775,206.00985687403877,100,0.01,32,1,8
regression_years,1778493061_2,hidden_layer_sizes,[8],191.16246400583867,201.6797834910656,100,0.01,32,1,8
regression_years,1778493061_0,hidden_layer_sizes,"[16, 8]",188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778493061_1,hidden_layer_sizes,"[16, 8]",194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778493061_2,hidden_layer_sizes,"[16, 8]",191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778493061_0,hidden_layer_sizes,"[32, 16]",191.8379410631453,202.35699409632355,100,0.01,32,2,32-16
regression_years,1778493061_1,hidden_layer_sizes,"[32, 16]",180.70818454616247,226.03432848287233,100,0.01,32,2,32-16
regression_years,1778493061_2,hidden_layer_sizes,"[32, 16]",175.691808117054,213.8845029840664,100,0.01,32,2,32-16
regression_years,1778493061_0,hidden_layer_sizes,"[32, 16, 8]",197.14515407875186,199.96116869278316,100,0.01,32,3,32-16-8
regression_years,1778493061_1,hidden_layer_sizes,"[32, 16, 8]",196.96856819373562,199.7454786697366,100,0.01,32,3,32-16-8
regression_years,1778493061_2,hidden_layer_sizes,"[32, 16, 8]",196.9673492629206,199.74480109092673,100,0.01,32,3,32-16-8
regression_years,1778493071_0,epochs,10,196.8833362350969,199.7644937101989,10,0.01,32,2,16-8
regression_years,1778493071_1,epochs,10,196.97775492842607,199.75145238001588,10,0.01,32,2,16-8
regression_years,1778493071_2,epochs,10,196.1382476189566,200.0300713159138,10,0.01,32,2,16-8
regression_years,1778493071_0,epochs,50,191.0040632849057,200.11344396137505,50,0.01,32,2,16-8
regression_years,1778493071_1,epochs,50,195.7708961251055,200.09259077633166,50,0.01,32,2,16-8
regression_years,1778493071_2,epochs,50,190.98354741342825,203.61420896336278,50,0.01,32,2,16-8
regression_years,1778493071_0,epochs,100,188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778493071_1,epochs,100,194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778493071_2,epochs,100,191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778493071_0,epochs,200,185.1237060290346,206.5733668588396,200,0.01,32,2,16-8
regression_years,1778493071_1,epochs,200,194.2334162022365,204.78186667130578,200,0.01,32,2,16-8
regression_years,1778493071_2,epochs,200,188.71298731112347,205.34040189984583,200,0.01,32,2,16-8
regression_years,1778493079_0,batch_size,16,195.74962052571775,200.52059573244483,100,0.01,16,2,16-8
regression_years,1778493079_1,batch_size,16,196.96265944165924,199.74745962419448,100,0.01,16,2,16-8
regression_years,1778493079_2,batch_size,16,194.97989262555632,202.34526559378713,100,0.01,16,2,16-8
regression_years,1778493079_0,batch_size,32,188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778493079_1,batch_size,32,194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778493079_2,batch_size,32,191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778493079_0,batch_size,64,194.90563023554233,201.7218834090824,100,0.01,64,2,16-8
regression_years,1778493079_1,batch_size,64,193.98161831910824,203.7716388883445,100,0.01,64,2,16-8
regression_years,1778493079_2,batch_size,64,192.48702481240827,202.49503227197425,100,0.01,64,2,16-8
regression_years,1778493079_0,batch_size,128,192.49231983449604,206.97883364007907,100,0.01,128,2,16-8
regression_years,1778493079_1,batch_size,128,193.65633748589136,202.88677637942428,100,0.01,128,2,16-8
regression_years,1778493079_2,batch_size,128,191.43559517098942,205.95743378128537,100,0.01,128,2,16-8
regression_years,1778493087_0,learning_rate,0.001,182.98878941845837,209.94475582485288,100,0.001,32,2,16-8
regression_years,1778493087_1,learning_rate,0.001,180.2053033458927,212.44007759764966,100,0.001,32,2,16-8
regression_years,1778493087_2,learning_rate,0.001,184.06217260092674,218.24669880209856,100,0.001,32,2,16-8
regression_years,1778493087_0,learning_rate,0.01,188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778493087_1,learning_rate,0.01,194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778493087_2,learning_rate,0.01,191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778493087_0,learning_rate,0.05,197.55504249192654,200.39740722901797,100,0.05,32,2,16-8
regression_years,1778493087_1,learning_rate,0.05,197.04989824766585,199.85578193502604,100,0.05,32,2,16-8
regression_years,1778493087_2,learning_rate,0.05,197.27554824349016,200.1017293375112,100,0.05,32,2,16-8
regression_years,1778493087_0,learning_rate,0.1,198.09403331997902,200.95902884350443,100,0.1,32,2,16-8
regression_years,1778493087_1,learning_rate,0.1,197.1680309326055,199.98604383519455,100,0.1,32,2,16-8
regression_years,1778493087_2,learning_rate,0.1,197.28870409499945,200.115780654981,100,0.1,32,2,16-8
